city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Bubaque,75,GW,1538150400,74,11.28,-15.83,84.2,11.41
Salinopolis,64,BR,1538154027,88,-0.61,-47.36,83.72,19.13
Grand-Santi,0,GF,1538154210,41,4.27,-54.38,95.96,2.91
Paita,0,PE,1538150400,290,-5.09,-81.11,62.6,10.29
Matamoros,90,MX,1538149260,88,25.53,-103.23,71.6,5.03
Genhe,48,CN,1538154211,96,50.78,121.52,42.23,7.16
Taitung,24,TW,1538154211,100,22.76,121.15,75.53,6.15
Riyadh,0,SA,1538150400,8,24.63,46.72,95.0,4.7
Sidi Ali,0,DZ,1538154211,53,36.1,0.42,75.08,4.36
Nantucket,90,US,1538152800,96,41.28,-70.1,62.06,9.17
Bukachacha,0,RU,1538154212,51,52.99,116.91,49.52,6.71
Vestmannaeyjar,92,IS,1538154212,100,63.44,-20.27,46.46,25.72
Rundu,24,NA,1538154212,19,-17.91,19.77,85.52,7.94
Bollnas,0,SE,1538154212,55,61.35,16.39,42.23,8.5
Ponta Grossa,24,BR,1538154213,86,-25.09,-50.16,76.97,5.26
Solnechnyy,56,RU,1538154213,93,50.72,136.64,43.31,1.23
Ust-Barguzin,80,RU,1538154213,100,53.41,109.03,37.28,3.36
Ploemeur,0,FR,1538152200,64,47.73,-3.43,69.8,18.34
Mehamn,75,NO,1538149800,74,71.03,27.85,37.4,8.05
Omsukchan,92,RU,1538154214,90,62.53,155.8,32.33,12.19
Udachnyy,88,RU,1538154214,96,66.42,112.4,39.53,3.69
Sosnovo-Ozerskoye,20,RU,1538154214,91,52.53,111.54,41.06,11.86
Beisfjord,20,NO,1538149800,69,68.38,17.6,39.2,10.29
Kaseda,75,JP,1538152500,88,31.42,130.32,71.6,14.99
Aldan,92,RU,1538154215,89,58.61,125.39,43.4,5.48
Bagn,8,NO,1538154215,58,60.82,9.55,35.03,3.58
Saint-Pierre,75,PM,1538150400,93,46.77,-56.17,53.6,14.99
Tefe,40,BR,1538150400,74,-3.35,-64.71,86.0,4.7
Cairns,40,AU,1538152200,68,-16.92,145.77,71.6,10.29
Sauda,75,NO,1538151600,76,59.65,6.35,48.2,4.7
Maningrida,0,AU,1538154215,75,-12.05,134.23,75.08,12.41
Aklavik,75,CA,1538151000,86,68.22,-135.01,33.8,10.29
Oneonta,8,US,1538154155,81,42.45,-75.06,61.58,3.02
La Ronge,75,CA,1538150400,68,55.1,-105.3,32.0,9.17
Katsuura,100,JP,1538154216,100,33.93,134.5,65.99,4.36
Coos Bay,75,US,1538151540,100,43.37,-124.22,48.2,4.7
Totoral,40,BO,1538150400,29,-18.5,-66.87,62.6,10.29
Tiarei,20,PF,1538152200,73,-17.53,-149.33,71.6,4.7
Sovetskiy,92,RU,1538154216,94,56.76,48.47,48.8,21.47
Margate,0,ZA,1538154217,77,-30.86,30.37,70.4,16.44
Lazaro Cardenas,20,MX,1538149200,56,28.39,-105.62,71.6,4.59
Rocky Mountain House,92,CA,1538154217,95,52.38,-114.92,36.38,3.69
Gniezno,0,PL,1538152200,50,52.54,17.6,55.4,9.17
Matagami,90,CA,1538152860,81,49.76,-77.63,50.0,19.46
Puerto Rico,0,CO,1538154218,56,2.94,-73.21,90.74,3.69
Budureasa,0,RO,1538152200,45,46.68,22.5,62.6,3.36
Namatanai,0,PG,1538154218,100,-3.66,152.44,81.92,16.78
Port Moresby,20,PG,1538150400,88,-9.47,147.16,71.6,5.82
Newport,90,US,1538153640,100,41.49,-71.31,62.06,5.82
Ngunguru,0,NZ,1538154216,100,-35.62,174.5,51.86,7.38
Pringsewu,12,ID,1538154219,86,-5.36,104.98,73.19,2.24
Port Macquarie,32,AU,1538150400,87,-31.43,152.91,59.0,2.24
Beckley,90,US,1538151360,77,37.78,-81.19,63.68,3.13
Iqaluit,75,CA,1538152800,69,63.75,-68.52,35.6,6.93
Caravelas,0,BR,1538154220,100,-17.73,-39.27,77.6,18.68
