city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Cherskiy,36,RU,1540435442,73,68.75,161.3,6.26,4.21
Anadyr,75,RU,1540432800,85,64.73,177.51,24.8,15.66
Luena,80,AO,1540435534,60,-11.78,19.91,61.79,7.23
Waingapu,0,ID,1540435534,68,-9.65,120.26,87.98,3.76
Sabaudia,0,IT,1540434000,93,41.3,13.03,53.6,3.36
Broome,75,AU,1540434600,62,-17.97,122.23,84.2,13.87
Miquelon,92,PM,1540435534,100,47.1,-56.38,45.77,39.44
Rio Grande,92,BR,1540435497,88,-32.03,-52.1,65.39,18.3
Carballo,0,ES,1540434600,93,43.21,-8.69,48.2,4.7
Malbork,75,PL,1540434600,75,54.04,19.03,41.0,9.17
Marawi,76,SD,1540435535,58,18.48,31.82,71.96,2.75
Bahia Blanca,44,AR,1540435535,100,-38.72,-62.27,53.51,9.91
Talavera de la Reina,0,ES,1540435251,84,39.96,-4.83,42.12,3.09
Gloucester,1,US,1540433700,93,37.41,-76.53,53.6,7.23
Riachao das Neves,0,BR,1540435535,74,-11.75,-44.91,68.5,2.64
Georgetown,92,SH,1540435535,100,-7.93,-14.42,74.93,11.25
Hof,0,NO,1540434000,80,59.53,10.09,41.0,10.29
Rosarito,40,MX,1540431720,53,27.04,-109.91,75.2,3.36
Port Blair,92,IN,1540435536,100,11.67,92.75,82.45,3.42
Bodden Town,20,KY,1540432800,83,19.28,-81.25,82.4,10.69
Malanje,100,AO,1540435536,99,-9.54,16.35,63.59,9.01
Evensk,8,RU,1540435536,100,61.92,159.24,29.03,6.33
Nueva Loja,0,EC,1540435536,94,0.08,-76.88,74.35,1.97
Estelle,90,US,1540433940,93,32.87,-97.01,55.4,12.75
Vao,48,NC,1540435537,100,-22.67,167.48,73.9,13.49
Teya,92,RU,1540435537,84,60.37,92.63,31.6,6.33
Tegal,8,ID,1540435523,100,-6.87,109.14,82.81,2.75
Shieli,76,KZ,1540435537,76,44.18,66.74,37.81,3.2
Kloulklubed,90,PW,1540432200,83,7.04,134.26,82.4,11.41
Fonte Boa,48,BR,1540435537,87,-2.51,-66.09,79.66,4.43
Viru,75,PE,1540432800,82,-8.42,-78.75,64.4,9.17
Mari-Turek,92,RU,1540435538,94,56.79,49.62,43.07,18.07
Auburn,1,US,1540432560,69,44.1,-70.23,39.2,8.05
Hibbing,1,US,1540433700,60,47.43,-92.94,46.4,12.48
Tadine,56,NC,1540435538,92,-21.55,167.88,76.32,14.16
Jishou,88,CN,1540435538,100,28.26,109.7,63.41,3.98
Patterson,1,US,1540432500,37,37.47,-121.13,69.8,5.82
Cidreira,24,BR,1540435539,77,-30.17,-50.22,65.66,16.51
Fortuna,90,US,1540432500,100,40.6,-124.16,51.8,4.7
Sitka,92,US,1540435539,100,37.17,-99.65,45.59,8.57
New Norfolk,75,AU,1540434600,38,-42.78,147.06,60.8,8.05
Kurumkan,0,RU,1540435539,65,54.33,110.32,19.81,2.3
Quesnel,20,CA,1540432800,79,52.98,-122.49,50.0,4.7
Miranda de Ebro,20,ES,1540434600,100,42.69,-2.95,48.2,2.24
Hede,0,CN,1540435540,71,33.77,120.25,70.2,11.92
Carnarvon,0,AU,1540435540,83,-24.87,113.63,71.06,17.29
Yuzhnyy,56,RU,1540435540,97,53.54,39.45,40.32,10.92
Viedma,92,AR,1540435540,92,-40.81,-62.99,51.31,9.46
Gobo,0,JP,1540432800,46,33.89,135.15,69.8,5.82
Klaksvik,68,FO,1540434000,93,62.23,-6.59,44.6,12.75
Sioux Lookout,40,CA,1540432800,69,50.1,-91.92,42.8,5.82
Dongying,56,CN,1540435541,44,37.43,118.67,71.96,15.28
Rosetta,56,EG,1540435541,90,31.4,30.42,66.65,5.21
Kununurra,0,AU,1540434600,32,-15.77,128.74,95.0,10.29
Chicama,75,PE,1540432800,82,-7.84,-79.15,64.4,9.17
Port Keats,0,AU,1540435542,68,-14.25,129.55,92.03,12.26
Abu Dhabi,0,AE,1540432800,83,24.47,54.37,82.4,3.36
Mogadishu,80,SO,1540435542,100,2.04,45.34,78.26,4.21
Mchinji,8,MW,1540435542,90,-13.8,32.89,52.02,6.33
Manono,56,CD,1540435542,47,-7.3,27.4,76.64,7.56
Grootfontein,0,NA,1540435543,85,-19.56,18.1,44.37,2.75
Qaanaaq,48,GL,1540435543,100,77.48,-69.36,3.56,11.81
Ventspils,0,LV,1540434000,70,57.39,21.56,44.6,10.29
Mtinko,36,TZ,1540435543,91,-4.55,34.84,57.47,7.9
Vysokogornyy,88,RU,1540435543,81,50.1,139.13,34.92,8.12
Sri Aman,75,MY,1540432800,83,1.24,111.46,84.2,3.36
Bayburt,92,TR,1540435543,81,40.26,40.22,45.72,12.03
Floro,92,NO,1540434000,87,61.6,5.03,46.4,21.92
Bad Bentheim,75,DE,1540434000,93,52.3,7.16,53.6,10.29
Kaitangata,92,NZ,1540435544,96,-46.28,169.85,48.7,10.8
Mitsamiouli,0,KM,1540435544,98,-11.38,43.28,76.46,7.0
Dano,0,BF,1540435544,75,11.14,-3.06,72.45,2.75
Hithadhoo,48,MV,1540435544,100,-0.6,73.08,82.35,5.88
Canmore,75,CA,1540432800,100,51.09,-115.35,44.6,4.7
Yumen,0,CN,1540435544,57,40.29,97.04,37.9,4.32
Saurimo,76,AO,1540435544,92,-9.66,20.4,64.35,3.98
Kaeo,64,NZ,1540435545,53,-35.1,173.78,67.6,10.13
Daru,0,PG,1540435545,77,-9.07,143.21,83.52,15.17
Lakatoro,92,VU,1540435545,98,-16.11,167.42,77.0,9.69
Canico,75,PT,1540434600,64,32.63,-16.85,69.8,3.36
Bathsheba,20,BB,1540432800,83,13.22,-59.52,78.8,9.17
Kavieng,92,PG,1540435545,100,-2.57,150.8,77.36,17.74
Knysna,20,ZA,1540435546,87,-34.04,23.05,63.68,3.65
Channel-Port aux Basques,92,CA,1540435546,93,47.57,-59.14,48.6,43.69
Hambantota,20,LK,1540435546,100,6.12,81.12,81.14,7.78
Ribas do Rio Pardo,88,BR,1540435546,98,-20.45,-53.76,70.75,4.54
Daye,92,CN,1540435546,100,30.1,114.98,66.65,5.88
Sao Filipe,48,CV,1540435546,98,14.9,-24.5,78.89,14.27
San Cristobal,64,EC,1540435546,95,-1.02,-79.44,59.18,2.3
Gravdal,92,NO,1540434000,76,59.79,5.78,50.0,27.51
Meulaboh,0,ID,1540435547,100,4.14,96.13,82.85,1.74
Saint-Francois,0,GP,1540432800,94,16.25,-61.27,75.2,3.36
Burnie,68,AU,1540435547,100,-41.05,145.91,54.95,11.81
Lavrentiya,92,RU,1540435547,100,65.58,-170.99,38.12,32.5
Polonne,92,UA,1540435548,97,50.12,27.51,37.67,21.77
San Andres Semetabaj,20,GT,1540432800,77,14.75,-91.13,66.2,9.17
Marsa Matruh,0,EG,1540435548,90,31.35,27.25,60.26,12.03
Salym,92,RU,1540435548,97,60.06,71.48,40.28,6.44
Cloquet,75,US,1540434900,87,46.72,-92.46,46.4,10.47
Machali,92,CL,1540435549,78,-34.18,-70.67,51.31,0.74
Polewali,0,ID,1540435549,48,-4.03,119.8,93.38,3.98
Dunbar,40,GB,1540434000,93,56.0,-2.51,51.8,16.11
Kharp,12,RU,1540435549,54,66.82,65.8,6.85,3.87
Vila Velha,0,BR,1540432800,78,-3.71,-38.6,80.6,12.75
Santa Cruz,0,CR,1540432800,88,10.26,-85.58,78.8,6.22
Atasu,0,KZ,1540435550,66,48.68,71.64,21.83,3.2
Adamas,48,GR,1540434000,82,36.73,24.43,64.4,16.11
Popondetta,24,PG,1540435550,48,-8.77,148.24,83.03,1.41
Porto Santo,40,PT,1540434600,88,33.07,-16.34,69.8,2.24
Paka,75,MY,1540432800,74,4.64,103.44,84.2,2.24
Ahipara,56,NZ,1540435550,73,-35.17,173.16,64.04,10.8
Berdigestyakh,76,RU,1540435551,68,62.1,126.7,18.9,6.67
Mandurah,0,AU,1540434600,49,-32.55,115.7,71.6,8.05
Oum Hadjer,24,TD,1540435551,85,13.3,19.7,70.52,8.46
Saldanha,0,ZA,1540435551,83,-33.01,17.94,63.32,5.99
Prabumulih,32,ID,1540435551,100,-3.5,104.19,79.66,4.43
Tautira,75,PF,1540435320,65,-17.73,-149.15,80.6,12.75
Naivasha,92,KE,1540435552,100,-0.72,36.43,51.12,2.53
Thaton,32,MM,1540435552,100,16.91,97.37,82.22,4.99
Mlowo,0,TZ,1540435552,76,-9.01,33.0,57.83,7.45
Yamada,75,JP,1540432800,67,36.58,137.08,66.2,9.17
Roald,92,NO,1540434000,87,62.58,6.12,42.8,9.17
Le Port,90,RE,1540432800,72,-20.94,55.29,68.0,5.82
Bongandanga,92,CD,1540435553,100,1.51,21.07,70.66,2.42
Hasaki,20,JP,1540432800,52,35.73,140.83,68.0,10.29
Birao,32,CF,1540435553,95,10.3,22.78,69.75,2.98
Honiara,75,SB,1540434600,74,-9.43,159.96,87.8,10.29
Arraial do Cabo,92,BR,1540435553,99,-22.97,-42.02,71.87,12.71
Jiuquan,0,CN,1540435553,46,39.73,98.49,35.06,2.3
Westport,92,IE,1540435554,96,53.8,-9.52,50.18,10.02
Bubaque,0,GW,1540435554,100,11.28,-15.83,84.56,10.02
Stornoway,92,GB,1540434000,93,58.21,-6.39,46.4,13.87
Havre-Saint-Pierre,90,CA,1540433220,94,50.23,-63.6,33.8,14.99
Lipin Bor,92,RU,1540435554,100,60.26,37.97,35.24,13.04
Leticia,75,CO,1540432800,100,-4.21,-69.94,78.8,2.53
Wladyslawowo,75,PL,1540434600,75,54.79,18.4,41.0,9.17
Obo,68,CF,1540435555,95,5.39,26.49,68.18,3.76
Ouargaye,0,BF,1540435555,74,11.5,0.06,73.94,9.69
Nishihara,20,JP,1540432800,46,35.74,139.53,69.8,9.17
Aykhal,68,RU,1540435556,90,65.95,111.51,20.39,3.87
Krasnyy Chikoy,88,RU,1540435556,63,50.36,108.75,23.85,8.01
Bandarbeyla,88,SO,1540435557,100,9.49,50.81,75.38,2.75
Nizwa,0,OM,1540435557,69,22.93,57.53,66.38,3.42
Faanui,0,PF,1540435557,100,-16.48,-151.75,80.19,10.25
Ulaangom,0,MN,1540435557,64,49.98,92.07,20.35,2.42
Miyako,20,JP,1540432800,55,33.63,130.94,68.0,4.7
Salalah,0,OM,1540432200,69,17.01,54.1,73.4,5.21
Primo Tapia,5,MX,1540432560,82,32.22,-116.92,69.8,6.11
Lebu,0,CL,1540435558,100,-37.62,-73.65,52.61,11.7
Beyneu,0,KZ,1540435559,75,45.32,55.19,53.56,12.48
Dwarka,0,IN,1540434600,60,28.58,77.04,69.8,2.86
Denpasar,0,ID,1540435559,62,-8.65,115.22,84.83,2.19
Banamba,0,ML,1540435560,74,13.55,-7.45,74.8,2.75
San Patricio,40,MX,1540431600,78,19.22,-104.7,80.6,6.93
Pokosnoye,88,RU,1540435628,75,55.53,101.05,30.87,4.32
Diffa,0,NE,1540435560,51,13.32,12.61,67.5,2.42
Belmonte,24,BR,1540435561,91,-26.84,-53.58,65.3,6.55
Novyy Urengoy,76,RU,1540435262,92,66.08,76.63,26.65,15.5
Jalu,8,LY,1540435561,93,29.03,21.55,58.91,2.98
Christchurch,92,NZ,1540432800,93,-43.53,172.64,50.0,20.8
Padang,36,ID,1540435561,100,-0.92,100.36,81.77,2.75
Shimoda,40,JP,1540432800,52,34.7,138.93,69.8,16.11
Makakilo City,75,US,1540433400,74,21.35,-158.09,84.2,6.93
Berlevag,92,NO,1540435562,100,70.86,29.09,32.5,6.67
Sosnovo,92,RU,1540435562,100,60.56,30.25,37.85,2.98
Itarema,0,BR,1540435562,86,-2.92,-39.92,77.22,12.71
Lafia,8,NG,1540435562,96,8.5,8.51,72.32,6.78
Elk Point,75,CA,1540432800,60,53.9,-110.9,41.0,2.24
Kiruna,80,SE,1540434000,92,67.86,20.23,19.4,3.42
Dawlatabad,8,AF,1540435562,74,36.41,64.91,47.84,2.64
La Ronge,5,CA,1540432800,73,55.1,-105.3,42.8,9.17
Pitsunda,90,GE,1540432800,88,43.16,40.34,62.6,22.37
Werda,0,BW,1540435563,58,-25.27,23.28,47.75,2.98
Mount Gambier,0,AU,1540435563,63,-37.83,140.78,66.25,6.22
Aragats,75,AM,1540432800,51,40.22,44.23,62.6,13.87
Khash,0,IR,1540435563,77,28.22,61.21,47.21,2.64
Madang,76,PG,1540435563,94,-5.21,145.81,80.19,3.76
Neyshabur,0,IR,1540435564,76,36.21,58.79,41.4,1.97
Santa Fe,44,AR,1540435279,63,-31.62,-60.7,64.22,12.03
Kahului,40,US,1540432560,66,20.89,-156.47,86.0,19.46
Pareora,92,NZ,1540435564,100,-44.49,171.21,44.15,4.99
Sechura,8,PE,1540435564,91,-5.56,-80.82,65.93,13.82
Paamiut,44,GL,1540435564,100,61.99,-49.67,31.73,2.75
Nong Kung Si,40,TH,1540432800,74,16.65,103.3,86.0,3.36
Vila Franca do Campo,20,PT,1540434600,88,37.72,-25.43,64.4,5.82
Mabaruma,8,GY,1540435565,87,8.2,-59.78,80.15,7.0
Amahai,0,ID,1540435565,100,-3.31,129.0,83.25,5.66
Ivoti,90,BR,1540432800,72,-29.59,-51.16,66.2,9.17
Vitim,88,RU,1540435565,85,59.44,112.57,28.94,3.2
Mokhsogollokh,80,RU,1540435566,72,61.4,128.95,21.7,5.99
Naze,20,JP,1540432800,50,28.37,129.48,78.8,13.87
Ixtapa,75,MX,1540431780,100,20.71,-105.21,78.8,1.74
Dalbandin,0,PK,1540435566,78,28.9,64.41,59.27,5.99
Praia da Vitoria,40,PT,1540432800,93,38.73,-27.07,66.2,14.72
Chililabombwe,32,ZM,1540435566,53,-12.37,27.84,60.62,9.69
Ishinomaki,20,JP,1540432800,42,38.42,141.3,66.2,10.29
Batemans Bay,24,AU,1540435567,80,-35.71,150.18,65.21,5.32
Torbay,90,CA,1540432800,87,47.66,-52.73,42.8,21.92
